"id","hexID","X9","X11","X12","X13","X14","X15","X16","rel_9","rel_11","rel_12","rel_13","rel_14","rel_15","rel_16","relMax","absMax","maxLevel","total","antwort"
"ID142","ID142",142,5,0,0,0,0,148,0,0.0326797385620915,0,0,0,0,0.967320261437909,0,0.967320261437909,148,"15",153,"Znüni"
"ID143","ID143",143,0,0,0,1,0,28,0,0,0,0,0.0344827586206897,0,0.96551724137931,0,0.96551724137931,28,"15",29,"Znüni"
"ID144","ID144",144,2,0,0,0,0,42,0,0.0454545454545455,0,0,0,0,0.954545454545455,0,0.954545454545455,42,"15",44,"Znüni"
"ID145","ID145",145,0,0,0,1,0,4,0,0,0,0,0.2,0,0.8,0,0.8,4,"15",5,"Znüni"
"ID146","ID146",146,0,0,0,1,0,7,0,0,0,0,0.125,0,0.875,0,0.875,7,"15",8,"Znüni"
"ID147","ID147",147,3,0,0,1,0,1,0,0.6,0,0,0.2,0,0.2,0,0.6,3,"9",5,"Frühstückspause / Pause / Kaffeepause"
"ID148","ID148",148,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"9",2,"Frühstückspause / Pause / Kaffeepause"
"ID149","ID149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID150","ID150",150,7,0,0,2,0,0,2,0.636363636363636,0,0,0.181818181818182,0,0,0.181818181818182,0.636363636363636,7,"9",11,"Frühstückspause / Pause / Kaffeepause"
"ID151","ID151",151,6,0,2,3,0,2,1,0.428571428571429,0,0.142857142857143,0.214285714285714,0,0.142857142857143,0.0714285714285714,0.428571428571429,6,"9",14,"Frühstückspause / Pause / Kaffeepause"
"ID152","ID152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID153","ID153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID154","ID154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID155","ID155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID156","ID156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID157","ID157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
