"id","hexID","X152","X153","X154","X155","X156","X157","rel_152","rel_153","rel_154","rel_155","rel_156","rel_157","relMax","absMax","maxLevel","total","antwort"
"ID111","ID111",111,13,3,122,32,643,1,0.015970515970516,0.00368550368550369,0.14987714987715,0.0393120393120393,0.78992628992629,0.00122850122850123,0.78992628992629,643,"156",814,"Brieftasche/Briaftoschn"
"ID112","ID112",112,3,0,12,1,42,0,0.0517241379310345,0,0.206896551724138,0.0172413793103448,0.724137931034483,0,0.724137931034483,42,"156",58,"Brieftasche/Briaftoschn"
"ID113","ID113",113,0,1,12,2,89,0,0,0.00961538461538462,0.115384615384615,0.0192307692307692,0.855769230769231,0,0.855769230769231,89,"156",104,"Brieftasche/Briaftoschn"
"ID114","ID114",114,0,1,4,0,27,0,0,0.03125,0.125,0,0.84375,0,0.84375,27,"156",32,"Brieftasche/Briaftoschn"
"ID115","ID115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID116","ID116",116,3,0,0,0,0,0,1,0,0,0,0,0,1,3,"152",3,"Portemonnaie/Portmonee"
"ID117","ID117",117,1,0,0,1,0,0,0.5,0,0,0.5,0,0,0.5,1,"152",2,"Portemonnaie/Portmonee"
"ID118","ID118",118,3,0,0,0,0,1,0.75,0,0,0,0,0.25,0.75,3,"152",4,"Portemonnaie/Portmonee"
"ID119","ID119",119,18,0,1,0,0,10,0.620689655172414,0,0.0344827586206897,0,0,0.344827586206897,0.620689655172414,18,"152",29,"Portemonnaie/Portmonee"
"ID120","ID120",120,50,1,1,1,0,18,0.704225352112676,0.0140845070422535,0.0140845070422535,0.0140845070422535,0,0.253521126760563,0.704225352112676,50,"152",71,"Portemonnaie/Portmonee"
"ID121","ID121",121,36,0,0,0,0,5,0.878048780487805,0,0,0,0,0.121951219512195,0.878048780487805,36,"152",41,"Portemonnaie/Portmonee"
"ID122","ID122",122,470,2,0,1,1,22,0.94758064516129,0.00403225806451613,0,0.00201612903225806,0.00201612903225806,0.0443548387096774,0.94758064516129,470,"152",496,"Portemonnaie/Portmonee"
"ID123","ID123",123,87,0,0,0,0,8,0.91578947368421,0,0,0,0,0.0842105263157895,0.91578947368421,87,"152",95,"Portemonnaie/Portmonee"
"ID124","ID124",124,66,1,0,0,0,9,0.868421052631579,0.0131578947368421,0,0,0,0.118421052631579,0.868421052631579,66,"152",76,"Portemonnaie/Portmonee"
"ID125","ID125",125,26,1,0,0,0,15,0.619047619047619,0.0238095238095238,0,0,0,0.357142857142857,0.619047619047619,26,"152",42,"Portemonnaie/Portmonee"
"ID126","ID126",126,16,1,1,0,0,2,0.8,0.05,0.05,0,0,0.1,0.8,16,"152",20,"Portemonnaie/Portmonee"
"ID127","ID127",127,8,1,0,0,0,2,0.727272727272727,0.0909090909090909,0,0,0,0.181818181818182,0.727272727272727,8,"152",11,"Portemonnaie/Portmonee"
"ID128","ID128",128,8,1,1,0,0,1,0.727272727272727,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.727272727272727,8,"152",11,"Portemonnaie/Portmonee"
"ID129","ID129",129,4,0,0,0,0,1,0.8,0,0,0,0,0.2,0.8,4,"152",5,"Portemonnaie/Portmonee"
"ID130","ID130",130,5,0,0,0,0,0,1,0,0,0,0,0,1,5,"152",5,"Portemonnaie/Portmonee"
"ID131","ID131",131,11,1,0,0,0,1,0.846153846153846,0.0769230769230769,0,0,0,0.0769230769230769,0.846153846153846,11,"152",13,"Portemonnaie/Portmonee"
"ID132","ID132",132,12,1,0,0,0,1,0.857142857142857,0.0714285714285714,0,0,0,0.0714285714285714,0.857142857142857,12,"152",14,"Portemonnaie/Portmonee"
"ID133","ID133",133,52,0,0,0,0,1,0.981132075471698,0,0,0,0,0.0188679245283019,0.981132075471698,52,"152",53,"Portemonnaie/Portmonee"
"ID134","ID134",134,46,0,0,0,0,0,1,0,0,0,0,0,1,46,"152",46,"Portemonnaie/Portmonee"
"ID135","ID135",135,34,0,2,0,0,1,0.918918918918919,0,0.0540540540540541,0,0,0.027027027027027,0.918918918918919,34,"152",37,"Portemonnaie/Portmonee"
"ID136","ID136",136,13,3,0,1,0,1,0.722222222222222,0.166666666666667,0,0.0555555555555556,0,0.0555555555555556,0.722222222222222,13,"152",18,"Portemonnaie/Portmonee"
"ID137","ID137",137,2,0,0,1,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0.666666666666667,2,"152",3,"Portemonnaie/Portmonee"
