"id","hexID","X121","X122","X123","X124","X125","X127","X128","X129","X130","X131","X134","X135","X136","X139","X140","X141","X142","X143","X144","X9999","rel_121","rel_122","rel_123","rel_124","rel_125","rel_127","rel_128","rel_129","rel_130","rel_131","rel_134","rel_135","rel_136","rel_139","rel_140","rel_141","rel_142","rel_143","rel_144","rel_9999","relMax","absMax","maxLevel","total","antwort"
"ID48","ID48",48,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0.0384615384615385,0,0,0.0384615384615385,0.0384615384615385,0,0,0,0.846153846153846,0,0.846153846153846,22,"144",26,"Gluggsi"
"ID49","ID49",49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0.928571428571429,0,0.928571428571429,13,"144",14,"Gluggsi"
"ID50","ID50",50,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.111111111111111,0.0555555555555556,0,0.0555555555555556,0,0,0,0,0,0,0,0.777777777777778,0,0.777777777777778,14,"144",18,"Gluggsi"
"ID51","ID51",51,0,0,0,1,0,0,2,0,4,1,3,1,0,0,0,0,0,1,3,0,0,0,0,0.0625,0,0,0.125,0,0.25,0.0625,0.1875,0.0625,0,0,0,0,0,0.0625,0.1875,0,0.25,4,"130",16,"Higgis / Hicki / Higgi"
"ID52","ID52",52,1,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0.0909090909090909,0,0,0,0,0.363636363636364,0,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0.272727272727273,0,0.363636363636364,4,"127",11,"Hickser"
"ID53","ID53",53,1,0,0,0,0,1,3,0,12,0,2,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0.0526315789473684,0.157894736842105,0,0.631578947368421,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0.631578947368421,12,"130",19,"Higgis / Hicki / Higgi"
"ID54","ID54",54,0,0,0,0,0,0,1,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.545454545454545,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0.545454545454545,6,"130",11,"Higgis / Hicki / Higgi"
"ID55","ID55",55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"121",1,"Schluckauf"
"ID56","ID56",56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"134",1,"Hitzgi"
"ID57","ID57",57,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0,0.5,2,"134",4,"Hitzgi"
