"id","hexID","X47","X48","X49","X50","X51","X54","X55","X56","X57","X58","X59","X60","X61","X62","rel_47","rel_48","rel_49","rel_50","rel_51","rel_54","rel_55","rel_56","rel_57","rel_58","rel_59","rel_60","rel_61","rel_62","relMax","absMax","maxLevel","total","antwort"
"ID68","ID68",68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"47",1,"Frikadelle"
"ID69","ID69",69,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.5,2,"47",4,"Frikadelle"
"ID70","ID70",70,3,0,1,2,2,0,1,1,18,6,1,0,0,8,0.0697674418604651,0,0.0232558139534884,0.0465116279069767,0.0465116279069767,0,0.0232558139534884,0.0232558139534884,0.418604651162791,0.13953488372093,0.0232558139534884,0,0,0.186046511627907,0.418604651162791,18,"57",43,"Hacktätschli"
"ID71","ID71",71,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,1,"47",5,"Frikadelle"
"ID72","ID72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID73","ID73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID74","ID74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID75","ID75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID76","ID76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID77","ID77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID78","ID78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID79","ID79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID80","ID80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID81","ID81",81,1,0,0,0,0,63,0,0,0,0,1,58,0,1,0.00806451612903226,0,0,0,0,0.508064516129032,0,0,0,0,0.00806451612903226,0.467741935483871,0,0.00806451612903226,0.508064516129032,63,"54",124,"Fleischla(i)be(r)l"
"ID82","ID82",82,0,0,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,0,0,0.714285714285714,0,0,0,0,0,0.285714285714286,0,0,0.714285714285714,20,"54",28,"Fleischla(i)be(r)l"
"ID83","ID83",83,0,0,1,0,0,29,0,1,0,0,0,16,0,0,0,0,0.0212765957446809,0,0,0.617021276595745,0,0.0212765957446809,0,0,0,0.340425531914894,0,0,0.617021276595745,29,"54",47,"Fleischla(i)be(r)l"
"ID84","ID84",84,1,1,1,0,0,91,1,1,0,0,0,81,0,2,0.00558659217877095,0.00558659217877095,0.00558659217877095,0,0,0.508379888268156,0.00558659217877095,0.00558659217877095,0,0,0,0.452513966480447,0,0.0111731843575419,0.508379888268156,91,"54",179,"Fleischla(i)be(r)l"
"ID85","ID85",85,0,0,1,0,0,9,0,0,0,0,0,15,0,2,0,0,0.037037037037037,0,0,0.333333333333333,0,0,0,0,0,0.555555555555556,0,0.0740740740740741,0.555555555555556,15,"60",27,"Faschiertes Laibchen"
"ID86","ID86",86,0,0,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,0.620689655172414,0,0,0,0,0,0.379310344827586,0,0,0.620689655172414,18,"54",29,"Fleischla(i)be(r)l"
"ID87","ID87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID88","ID88",88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,"58",1,"Hackplätzli"
"ID89","ID89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID90","ID90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID91","ID91",91,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0.6,3,"58",5,"Hackplätzli"
"ID92","ID92",92,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0.2,0,0,0,0,0.4,2,"49",5,"Bulette"
"ID93","ID93",93,1,0,0,0,0,1,0,0,10,18,0,0,0,3,0.0303030303030303,0,0,0,0,0.0303030303030303,0,0,0.303030303030303,0.545454545454545,0,0,0,0.0909090909090909,0.545454545454545,18,"58",33,"Hackplätzli"
"ID94","ID94",94,0,0,0,0,0,0,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0.529411764705882,0.411764705882353,0,0,0,0,0.529411764705882,9,"57",17,"Hacktätschli"
"ID95","ID95",95,1,0,1,0,1,0,0,0,179,89,2,0,0,6,0.003584229390681,0,0.003584229390681,0,0.003584229390681,0,0,0,0.6415770609319,0.318996415770609,0.00716845878136201,0,0,0.021505376344086,0.6415770609319,179,"57",279,"Hacktätschli"
"ID96","ID96",96,3,1,1,0,0,0,0,0,60,35,0,0,0,3,0.029126213592233,0.00970873786407767,0.00970873786407767,0,0,0,0,0,0.58252427184466,0.339805825242718,0,0,0,0.029126213592233,0.58252427184466,60,"57",103,"Hacktätschli"
"ID97","ID97",97,1,1,0,0,0,0,0,0,35,21,0,0,0,1,0.0169491525423729,0.0169491525423729,0,0,0,0,0,0,0.593220338983051,0.355932203389831,0,0,0,0.0169491525423729,0.593220338983051,35,"57",59,"Hacktätschli"
"ID98","ID98",98,2,1,0,0,0,0,0,0,10,10,0,0,0,1,0.0833333333333333,0.0416666666666667,0,0,0,0,0,0,0.416666666666667,0.416666666666667,0,0,0,0.0416666666666667,0.416666666666667,10,"57",24,"Hacktätschli"
"ID99","ID99",99,3,1,0,0,0,0,0,0,5,5,0,0,0,1,0.2,0.0666666666666667,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.0666666666666667,0.333333333333333,5,"57",15,"Hacktätschli"
"ID100","ID100",100,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0.857142857142857,0,0,0,0,0,0.857142857142857,6,"57",7,"Hacktätschli"
"ID101","ID101",101,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0.0909090909090909,0,0,0.909090909090909,10,"57",11,"Hacktätschli"
"ID102","ID102",102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"57",1,"Hacktätschli"
"ID103","ID103",103,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,1,"57",3,"Hacktätschli"
"ID104","ID104",104,1,1,1,0,0,0,0,0,3,3,0,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,3,"57",9,"Hacktätschli"
