"id","hexID","X73","X74","X75","X76","X77","X78","X79","X81","X82","rel_73","rel_74","rel_75","rel_76","rel_77","rel_78","rel_79","rel_81","rel_82","relMax","absMax","maxLevel","total","antwort"
"ID90","ID90",90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,"78",2,"Finken"
"ID91","ID91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID92","ID92",92,1,0,0,0,0,5,0,1,0,0.142857142857143,0,0,0,0,0.714285714285714,0,0.142857142857143,0,0.714285714285714,5,"78",7,"Finken"
"ID93","ID93",93,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0.666666666666667,2,"78",3,"Finken"
"ID94","ID94",94,1,4,0,0,0,12,1,0,0,0.0555555555555556,0.222222222222222,0,0,0,0.666666666666667,0.0555555555555556,0,0,0.666666666666667,12,"78",18,"Finken"
"ID95","ID95",95,0,3,0,0,0,11,0,0,0,0,0.214285714285714,0,0,0,0.785714285714286,0,0,0,0.785714285714286,11,"78",14,"Finken"
"ID96","ID96",96,2,4,1,0,0,10,0,0,0,0.117647058823529,0.235294117647059,0.0588235294117647,0,0,0.588235294117647,0,0,0,0.588235294117647,10,"78",17,"Finken"
"ID97","ID97",97,2,1,1,0,0,12,0,0,0,0.125,0.0625,0.0625,0,0,0.75,0,0,0,0.75,12,"78",16,"Finken"
"ID98","ID98",98,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0.5,1,"78",2,"Finken"
"ID99","ID99",99,0,0,2,0,0,2,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,2,"75",4,"Schlapfen/Schlappen"
"ID100","ID100",100,0,1,1,0,4,1,0,1,0,0,0.125,0.125,0,0.5,0.125,0,0.125,0,0.5,4,"77",8,"Patschen"
"ID101","ID101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID102","ID102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID103","ID103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID104","ID104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID105","ID105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID106","ID106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID107","ID107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID108","ID108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID109","ID109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID110","ID110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID111","ID111",111,1,0,6,0,4,0,0,0,0,0.0909090909090909,0,0.545454545454545,0,0.363636363636364,0,0,0,0,0.545454545454545,6,"75",11,"Schlapfen/Schlappen"
"ID112","ID112",112,2,0,10,0,9,0,0,0,0,0.0952380952380952,0,0.476190476190476,0,0.428571428571429,0,0,0,0,0.476190476190476,10,"75",21,"Schlapfen/Schlappen"
"ID113","ID113",113,0,0,19,0,17,0,0,0,0,0,0,0.527777777777778,0,0.472222222222222,0,0,0,0,0.527777777777778,19,"75",36,"Schlapfen/Schlappen"
"ID114","ID114",114,0,2,27,0,31,0,0,1,0,0,0.0327868852459016,0.442622950819672,0,0.508196721311475,0,0,0.0163934426229508,0,0.508196721311475,31,"77",61,"Patschen"
"ID115","ID115",115,0,1,19,1,39,0,0,0,0,0,0.0166666666666667,0.316666666666667,0.0166666666666667,0.65,0,0,0,0,0.65,39,"77",60,"Patschen"
"ID116","ID116",116,21,4,221,0,253,0,0,6,0,0.0415841584158416,0.00792079207920792,0.437623762376238,0,0.500990099009901,0,0,0.0118811881188119,0,0.500990099009901,253,"77",505,"Patschen"
"ID117","ID117",117,12,1,134,0,174,1,0,4,0,0.0368098159509202,0.00306748466257669,0.411042944785276,0,0.533742331288344,0.00306748466257669,0,0.0122699386503067,0,0.533742331288344,174,"77",326,"Patschen"
"ID118","ID118",118,3,5,70,0,71,0,0,0,0,0.0201342281879195,0.0335570469798658,0.469798657718121,0,0.476510067114094,0,0,0,0,0.476510067114094,71,"77",149,"Patschen"
"ID119","ID119",119,25,10,325,2,460,0,0,6,1,0.0301568154402895,0.0120627261761158,0.392038600723764,0.00241254523522316,0.554885404101327,0,0,0.00723763570566948,0.00120627261761158,0.554885404101327,460,"77",829,"Patschen"
"ID120","ID120",120,4,6,49,0,65,0,0,2,0,0.0317460317460317,0.0476190476190476,0.388888888888889,0,0.515873015873016,0,0,0.0158730158730159,0,0.515873015873016,65,"77",126,"Patschen"
"ID121","ID121",121,4,6,52,0,62,0,0,0,0,0.032258064516129,0.0483870967741935,0.419354838709677,0,0.5,0,0,0,0,0.5,62,"77",124,"Patschen"
"ID122","ID122",122,0,1,15,0,26,0,0,1,0,0,0.0232558139534884,0.348837209302326,0,0.604651162790698,0,0,0.0232558139534884,0,0.604651162790698,26,"77",43,"Patschen"
"ID123","ID123",123,0,1,1,0,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,1,"74",3,"Pantoffeln"
"ID124","ID124",124,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,1,"73",2,"Latschen"
"ID125","ID125",125,0,1,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,1,"74",2,"Pantoffeln"
"ID126","ID126",126,0,0,0,0,1,11,0,1,1,0,0,0,0,0.0714285714285714,0.785714285714286,0,0.0714285714285714,0.0714285714285714,0.785714285714286,11,"78",14,"Finken"
"ID127","ID127",127,4,3,8,0,1,109,0,0,0,0.032,0.024,0.064,0,0.008,0.872,0,0,0,0.872,109,"78",125,"Finken"
"ID128","ID128",128,3,1,2,0,0,54,0,1,0,0.0491803278688525,0.0163934426229508,0.0327868852459016,0,0,0.885245901639344,0,0.0163934426229508,0,0.885245901639344,54,"78",61,"Finken"
"ID129","ID129",129,13,17,5,0,0,418,1,4,0,0.0283842794759825,0.037117903930131,0.0109170305676856,0,0,0.912663755458515,0.00218340611353712,0.00873362445414847,0,0.912663755458515,418,"78",458,"Finken"
"ID130","ID130",130,6,4,1,0,0,144,0,0,0,0.0387096774193548,0.0258064516129032,0.00645161290322581,0,0,0.929032258064516,0,0,0,0.929032258064516,144,"78",155,"Finken"
"ID131","ID131",131,3,3,0,0,1,57,0,0,1,0.0461538461538462,0.0461538461538462,0,0,0.0153846153846154,0.876923076923077,0,0,0.0153846153846154,0.876923076923077,57,"78",65,"Finken"
"ID132","ID132",132,1,3,2,0,0,37,0,0,0,0.0232558139534884,0.0697674418604651,0.0465116279069767,0,0,0.86046511627907,0,0,0,0.86046511627907,37,"78",43,"Finken"
"ID133","ID133",133,2,0,1,0,2,26,0,0,0,0.0645161290322581,0,0.032258064516129,0,0.0645161290322581,0.838709677419355,0,0,0,0.838709677419355,26,"78",31,"Finken"
"ID134","ID134",134,0,1,0,0,0,9,0,0,0,0,0.1,0,0,0,0.9,0,0,0,0.9,9,"78",10,"Finken"
"ID135","ID135",135,1,0,0,0,0,13,0,0,0,0.0714285714285714,0,0,0,0,0.928571428571429,0,0,0,0.928571428571429,13,"78",14,"Finken"
"ID136","ID136",136,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,9,"78",9,"Finken"
"ID137","ID137",137,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,7,"78",7,"Finken"
"ID138","ID138",138,1,1,0,0,0,8,1,2,0,0.0769230769230769,0.0769230769230769,0,0,0,0.615384615384615,0.0769230769230769,0.153846153846154,0,0.615384615384615,8,"78",13,"Finken"
"ID139","ID139",139,0,1,0,0,0,13,0,1,0,0,0.0666666666666667,0,0,0,0.866666666666667,0,0.0666666666666667,0,0.866666666666667,13,"78",15,"Finken"
"ID140","ID140",140,2,2,0,0,0,40,0,0,0,0.0454545454545455,0.0454545454545455,0,0,0,0.909090909090909,0,0,0,0.909090909090909,40,"78",44,"Finken"
"ID141","ID141",141,5,12,2,0,0,128,0,2,0,0.0335570469798658,0.0805369127516778,0.0134228187919463,0,0,0.859060402684564,0,0.0134228187919463,0,0.859060402684564,128,"78",149,"Finken"
"ID142","ID142",142,0,1,0,0,2,26,0,0,0,0,0.0344827586206897,0,0,0.0689655172413793,0.896551724137931,0,0,0,0.896551724137931,26,"78",29,"Finken"
"ID143","ID143",143,1,0,2,0,0,43,0,1,0,0.0212765957446809,0,0.0425531914893617,0,0,0.914893617021277,0,0.0212765957446809,0,0.914893617021277,43,"78",47,"Finken"
"ID144","ID144",144,0,0,1,0,0,4,0,0,0,0,0,0.2,0,0,0.8,0,0,0,0.8,4,"78",5,"Finken"
"ID145","ID145",145,0,0,1,0,0,6,0,0,0,0,0,0.142857142857143,0,0,0.857142857142857,0,0,0,0.857142857142857,6,"78",7,"Finken"
"ID146","ID146",146,1,1,2,0,2,0,0,0,0,0.166666666666667,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333,2,"75",6,"Schlapfen/Schlappen"
"ID147","ID147",147,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,"77",4,"Patschen"
"ID148","ID148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID149","ID149",149,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,"77",4,"Patschen"
"ID150","ID150",150,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,"75",2,"Schlapfen/Schlappen"
